Latitude,Longitude,Site,Tree ID,DBH,Tree Height,Spread 1,Spread 2,Tree Condition,Notes,Type of Significant Trees,Multi-branch?,Average Spread
39.669055,-75.757489,PHIL,11,0.93,12.0,4.0,5.0,Good,"Newly planted tree 
Support is 80 inches",Newly planted tree,No,4.5
39.669127,-75.757656,PHIL,10,1.6,12.0,6.0,7.0,Good,Young Tree,Young tree,No,6.5
39.668814,-75.75856,PHIL,9,23.7,76.0,32.0,38.0,Good,,Large mature tree,No,35.0
39.669391,-75.75837,PHIL,8,22.85,86.0,48.0,42.0,Good,,Large mature tree,No,45.0
39.669408,-75.758122,PHIL,7,22.45,70.0,37.0,40.0,Good,,Large mature tree,No,38.5
39.668918,-75.758482,PHIL,5,0.92,13.0,4.0,5.0,Good,"Newly planted tree 
Support is 83 inches tall",Newly planted tree,No,4.5
39.668986,-75.758563,PHIL,6,0.98,12.0,2.0,2.0,Good,"Newly planted tree 
Support of 81 inches",Newly planted tree,No,2.0
39.668958,-75.758443,PHIL,4,1.57,12.0,3.0,4.0,Good,"Newly planted tree 
Support is 78
Diverges above breast height",Newly planted tree,Yes,3.5
39.668942,-75.758181,PHIL,3,0.99,14.0,3.0,3.0,Good,"Newly planted tree 
Has a support that is 77.5 inches",Newly planted tree,No,3.0
39.66896,-75.758135,PHIL,2,0.79,13.0,5.0,3.0,Good,"Newly planted tree
This tree has a support that is 74 inches tall",Newly planted tree,No,4.0
39.668976,-75.757992,PHIL,1,0.71,5.0,5.0,3.0,Good,Newly planted tree,Newly planted tree,No,4.0
